0,The Allocation of Talent and US Economic Growth,"CT Hsieh, E Hurst, CI Jones, PJ Klenow",2019,1025,Econometrica
1,Preferences for Truth‐Telling,"J Abeler, D Nosenzo, C Raymond",2019,832,Econometrica
2,Social Media and Protest Participation: Evidence From Russia,"R Enikolopov, A Makarin, M Petrova",2020,515,Econometrica
3,Trade and Labor Market Dynamics: General Equilibrium Analysis of the China Trade Shock,"L Caliendo, M Dvorkin, F Parro",2019,506,Econometrica
4,Financial Heterogeneity and the Investment Channel of Monetary Policy,"P Ottonello, T Winberry",2020,496,Econometrica
5,Local Projections and VARs Estimate the Same Impulse Responses,"M Plagborg‐Møller, CK Wolf",2021,440,Econometrica
6,Inference Based on Structural Vector Autoregressions Identified With Sign and Zero Restrictions: Theory and Applications,"JE Arias, JF Rubio‐Ramírez, DF Waggoner",2018,437,Econometrica
7,The Macroeconomic Impact of Microeconomic Shocks: Beyond Hulten's Theorem,"DR Baqaee, E Farhi",2019,420,Econometrica
8,Deep Neural Networks for Estimation and Inference,"MH Farrell, T Liang, S Misra",2021,413,Econometrica
9,RCTs to Scale: Comprehensive Evidence From Two Nudge Units,"S DellaVigna, E Linos",2022,357,Econometrica
10,Measuring Group Differences in High‐Dimensional Choices: Method and Application to Congressional Speech,"M Gentzkow, JM Shapiro, M Taddy",2019,314,Econometrica
11,Liberation Technology: Mobile Phones and Political Mobilization in Africa,"M Manacorda, A Tesei",2020,312,Econometrica
12,Labor Share Decline and Intellectual Property Products Capital,"D Koh, R Santaeulàlia‐Llopis, Y Zheng",2020,310,Econometrica
13,On the Geography of Global Value Chains,"P Antràs, A de Gortari",2020,304,Econometrica
14,How Destructive Is Innovation?,"D Garcia‐Macia, CT Hsieh, PJ Klenow",2019,299,Econometrica
15,A Distributional Framework for Matched Employer Employee Data,"S Bonhomme, T Lamadon, E Manresa",2019,293,Econometrica
16,Who Should Be Treated? Empirical Welfare Maximization Methods for Treatment Choice,"T Kitagawa, A Tetenov",2018,277,Econometrica
17,Competing on Speed,"ES Pagnotta, T Philippon",2018,276,Econometrica
18,Frontier Culture: The Roots and Persistence of “Rugged Individualism” in the United States,"S Bazzi, M Fiszbein, M Gebresilasse",2020,268,Econometrica
19,"The Historical State, Local Collective Action, and Economic Development in Vietnam","M Dell, N Lane, P Querubin",2018,268,Econometrica
