0,Exploring the dynamic relationships between cryptocurrencies and other financial assets,"S Corbet, A Meegan, C Larkin, B Lucey, L Yarovaya",2018,1081,Economics Letters
1,A new look at Cryptocurrencies,"A Phillip, JSK Chan, S Peiris",2018,364,Economics Letters
2,What causes the attention of Bitcoin?,A Urquhart,2018,362,Economics Letters
3,Liquidity and market efficiency in cryptocurrencies,WC Wei,2018,360,Economics Letters
4,Informational efficiency of Bitcoin—An extension,"AK Tiwari, RK Jana, D Das, D Roubaud",2018,360,Economics Letters
5,Price discovery of cryptocurrencies: Bitcoin and beyond,"A Brauneis, R Mestel",2018,315,Economics Letters
6,Does twitter predict Bitcoin?,"D Shen, A Urquhart, P Wang",2019,313,Economics Letters
7,Asymmetric volatility in cryptocurrencies,"DG Baur, T Dimpfl",2018,273,Economics Letters
8,Bitcoin Futures—What use are they?,"S Corbet, B Lucey, M Peat, S Vigne",2018,246,Economics Letters
9,An application of extreme value theory to cryptocurrencies,"K Gkillas, P Katsiampa",2018,234,Economics Letters
10,Return and volatility spillovers among cryptocurrencies,D Koutmos,2018,231,Economics Letters
11,Adaptive market hypothesis and evolving predictability of bitcoin,"S Khuntia, JK Pattanayak",2018,214,Economics Letters
12,Commodity price volatility and the economic uncertainty of pandemics,"D Bakas, A Triantafyllou",2020,211,Economics Letters
13,How investible is Bitcoin? Analyzing the liquidity and transaction costs of Bitcoin markets,"AH Dyhrberg, S Foley, J Svec",2018,206,Economics Letters
14,Gender differences in altruism on Mechanical Turk: Expectations and actual behaviour,"P Brañas-Garza, V Capraro, E Rascón-Ramírez",2018,201,Economics Letters
15,Dynamic connectedness of uncertainty across developed economies: A time-varying approach,"N Antonakakis, D Gabauer, R Gupta, V Plakandaras",2018,194,Economics Letters
16,The impact of the Ukraine–Russia war on world stock market returns,"W Boungou, A Yatié",2022,193,Economics Letters
17,The impact of the COVID-19 pandemic on the demand for density: Evidence from the US housing market,"S Liu, Y Su",2021,191,Economics Letters
18,Any port in a storm: Cryptocurrency safe-havens during the COVID-19 pandemic,"S Corbet, YG Hou, Y Hu, C Larkin, L Oxley",2020,191,Economics Letters
19,On the transmission mechanism of country-specific and international economic uncertainty spillovers: Evidence from a TVP-VAR connectedness decomposition approach,"D Gabauer, R Gupta",2018,186,Economics Letters
