0,"COVID-19 pandemic, oil prices, stock market, geopolitical risk and policy uncertainty nexus in the US economy: Fresh evidence from the wavelet-based approach","A Sharif, C Aloui, L Yarovaya",2020,1115,International Review of Financial Analysis
1,Cryptocurrencies as a financial asset: A systematic analysis,"S Corbet, B Lucey, A Urquhart, L Yarovaya",2019,866,International Review of Financial Analysis
2,"Bitcoin is not the New Gold–A comparison of volatility, correlation, and portfolio performance","T Klein, HP Thu, T Walther",2018,721,International Review of Financial Analysis
3,Is Bitcoin a better safe-haven investment than gold and commodities?,"SJH Shahzad, E Bouri, D Roubaud, L Kristoufek, B Lucey",2019,511,International Review of Financial Analysis
4,Portfolio diversification with virtual currency: Evidence from bitcoin,"K Guesmi, S Saadi, I Abid, Z Ftiti",2019,501,International Review of Financial Analysis
5,Searching for safe-haven assets during the COVID-19 pandemic,"Q Ji, D Zhang, Y Zhao",2020,483,International Review of Financial Analysis
6,Dynamic connectedness and integration in cryptocurrency markets,"Q Ji, E Bouri, CKM Lau, D Roubaud",2019,403,International Review of Financial Analysis
7,Is Bitcoin a hedge or safe haven for currencies? An intraday analysis,"A Urquhart, H Zhang",2019,398,International Review of Financial Analysis
8,Stock prices and geographic proximity of information: Evidence from the Ebola outbreak,"R Ichev, M Marinč",2018,387,International Review of Financial Analysis
9,Volatility connectedness in the cryptocurrency market: Is Bitcoin a dominant cryptocurrency?,"S Yi, Z Xu, GJ Wang",2018,371,International Review of Financial Analysis
10,Predicting stock returns in the presence of COVID-19 pandemic: The role of health news,"AA Salisu, XV Vo",2020,305,International Review of Financial Analysis
11,Return connectedness across asset classes around the COVID-19 outbreak,"E Bouri, O Cepni, D Gabauer, R Gupta",2021,300,International Review of Financial Analysis
12,"Audit committee financial expertise, gender, and earnings management: Does gender of the financial expert matter?","AM Zalata, V Tauringana, I Tingbani",2018,272,International Review of Financial Analysis
13,The role of bitcoin in well diversified portfolios: A comparative global study,"A Kajtazi, A Moro",2019,241,International Review of Financial Analysis
14,Does global economic uncertainty matter for the volatility and hedging effectiveness of Bitcoin?,"L Fang, E Bouri, R Gupta, D Roubaud",2019,228,International Review of Financial Analysis
15,Retail investor attention and stock price crash risk: Evidence from China,"F Wen, L Xu, G Ouyang, G Kou",2019,228,International Review of Financial Analysis
16,Global financial crisis and rising connectedness in the international commodity markets,"D Zhang, DC Broadstock",2020,222,International Review of Financial Analysis
17,"Crude oil market and stock markets during the COVID-19 pandemic: Evidence from the US, Japan, and Germany","W Zhang, S Hamori",2021,204,International Review of Financial Analysis
18,What do we know about oil prices and stock returns?,"R Smyth, PK Narayan",2018,195,International Review of Financial Analysis
19,Modelling dynamic dependence and risk spillover between all oil price shocks and stock market returns in the BRICS,"Q Ji, BY Liu, WL Zhao, Y Fan",2020,182,International Review of Financial Analysis
