0,Career concerns and multitasking local bureaucrats: Evidence of a target-based performance evaluation system in China,"YJ Chen, P Li, Y Lu",2018,287,Journal of Development Economics
1,Do rural roads create pathways out of poverty? Evidence from India,S Aggarwal,2018,287,Journal of Development Economics
2,African leaders and the geography of China's foreign assistance,"A Dreher, A Fuchs, R Hodler, BC Parks, PA Raschky, MJ Tierney",2019,222,Journal of Development Economics
3,A poor means test? Econometric targeting in Africa,"C Brown, M Ravallion, D van de Walle",2018,219,Journal of Development Economics
4,Ethnic favoritism: An axiom of politics?,"G De Luca, R Hodler, PA Raschky, M Valsecchi",2018,213,Journal of Development Economics
5,Land productivity and plot size: Is measurement error driving the inverse relationship?,"S Desiere, D Jolliffe",2018,209,Journal of Development Economics
6,Mobile money and risk sharing against village shocks,E Riley,2018,209,Journal of Development Economics
7,"Women's schooling, fertility, and child health outcomes: Evidence from Uganda's free primary education program",A Keats,2018,207,Journal of Development Economics
8,Building connections: Political corruption and road construction in India,"J Lehne, JN Shapiro, OV Eynde",2018,191,Journal of Development Economics
9,Migration and development: Dissecting the anatomy of the mobility transition,"TH Dao, F Docquier, C Parsons, G Peri",2018,186,Journal of Development Economics
10,Audit risk and rent extraction: Evidence from a randomized evaluation in Brazil,"Y Zamboni, S Litschig",2018,181,Journal of Development Economics
11,The role of trade in structural transformation,M Teignier,2018,180,Journal of Development Economics
12,"Payment instruments, finance and development","T Beck, H Pamuk, R Ramrattan, BR Uras",2018,179,Journal of Development Economics
13,"Do refugee camps help or hurt hosts? The case of Kakuma, Kenya","J Alix-Garcia, S Walker, A Bartlett, H Onder, A Sanghi",2018,176,Journal of Development Economics
14,"Which night lights data should we use in economics, and where?","J Gibson, S Olivia, G Boe-Gibson, C Li",2021,173,Journal of Development Economics
15,Agricultural reforms and production in China: Changes in provincial production function and productivity in 1978–2015,B Gong,2018,170,Journal of Development Economics
16,Diffusion of agricultural information within social networks: Evidence on gender inequalities from Mali,"L Beaman, A Dillon",2018,167,Journal of Development Economics
17,When the money runs out: Do cash transfers have sustained effects on human capital accumulation?,"S Baird, C McIntosh, B Özler",2019,164,Journal of Development Economics
18,"Straw burning, PM2. 5, and death: Evidence from China","G He, T Liu, M Zhou",2020,164,Journal of Development Economics
19,Educational inequality and intergenerational mobility in Latin America: A new database,"G Neidhöfer, J Serrano, L Gasparini",2018,163,Journal of Development Economics
