0,Suspending Classes Without Stopping Learning: China’s Education Emergency Management Policy in the COVID-19 Outbreak,"W Zhang, Y Wang, L Yang, C Wang",2020,1285,Journal of Risk and Financial Management
1,Risk Management of COVID-19 by Universities in China,"C Wang, Z Cheng, XG Yue, M McAleer",2020,574,Journal of Risk and Financial Management
2,"Consumer Behaviour during Crises: Preliminary Research on How Coronavirus Has Manifested Consumer Panic Buying, Herd Mentality, Changing Discretionary Spending and the Role of the Media in Influencing Behaviour","M Loxton, R Truskett, B Scarf, L Sindone, G Baldry, Y Zhao",2020,395,Journal of Risk and Financial Management
3,Refined Measures of Dynamic Connectedness based on Time-Varying Parameter Vector Autoregressions,"N Antonakakis, I Chatziantoniou, D Gabauer",2020,365,Journal of Risk and Financial Management
4,Long-and Short-Term Cryptocurrency Volatility Components: A GARCH-MIDAS Analysis,"C Conrad, A Custovic, E Ghysels",2018,255,Journal of Risk and Financial Management
5,"Enterprise Risk Management Practices and Firm Performance, the Mediating Role of Competitive Advantage and the Moderating Role of Financial Literacy","S Yang, M Ishtiaq, M Anwar",2018,239,Journal of Risk and Financial Management
6,Prevention Is Better Than the Cure: Risk Management of COVID-19,M McAleer,2020,183,Journal of Risk and Financial Management
7,Risk Management: Rethinking Fashion Supply Chain Management for Multinational Corporations in Light of the COVID-19 Outbreak,"M McMaster, C Nettleton, C Tom, B Xu, C Cao, P Qiao",2020,173,Journal of Risk and Financial Management
8,Digitalization of the EU Economies and People at Risk of Poverty or Social Exclusion,"A Kwilinski, O Vyshnevskyi, H Dzwigol",2020,170,Journal of Risk and Financial Management
9,Foreign Direct Investment and Economic Growth in the Short Run and Long Run: Empirical Evidence from Developing Countries,"TTH Dinh, DH Vo, A The Vo, TC Nguyen",2019,154,Journal of Risk and Financial Management
10,"What Future for the Green Bond Market? How Can Policymakers, Companies, and Investors Unlock the Potential of the Green Bond Market?","P Deschryver, F de Mariz",2020,147,Journal of Risk and Financial Management
11,Do Traditional Financial Distress Prediction Models Predict the Early Warning Signs of Financial Distress?,"S Ashraf, E GS Félix, Z Serrasqueiro",2019,145,Journal of Risk and Financial Management
12,Intellectual Capital Performance and Profitability of Banks: Evidence from Pakistan,"M Haris, HX Yao, G Tariq, A Malik, HM Javaid",2019,136,Journal of Risk and Financial Management
13,A Gated Recurrent Unit Approach to Bitcoin Price Prediction,"A Dutta, S Kumar, M Basu",2020,131,Journal of Risk and Financial Management
14,"An Exploratory Study Based on a Questionnaire Concerning Green and Sustainable Finance, Corporate Social Responsibility, and Performance: Evidence from the Romanian Business Environment","CRG Popescu, GN Popescu",2019,126,Journal of Risk and Financial Management
15,Blockchain-Based ICOs: Pure Hype or the Dawn of a New Era of Startup Financing?,"L Ante, P Sandner, I Fiedler",2018,123,Journal of Risk and Financial Management
16,Globalization and the Outbreak of COVID-19: An Empirical Analysis,"MR Farzanegan, M Feizi, HF Gholipour",2021,120,Journal of Risk and Financial Management
17,Volatility in International Stock Markets: An Empirical Study during COVID-19,"R Chaudhary, P Bakhshi, H Gupta",2020,119,Journal of Risk and Financial Management
18,Ensemble Learning or Deep Learning? Application to Default Risk Analysis,"S Hamori, M Kawai, T Kume, Y Murakami, C Watanabe",2018,116,Journal of Risk and Financial Management
19,Determinants and Impacts of Financial Literacy in Cambodia and Viet Nam,"PJ Morgan, LQ Trinh",2019,114,Journal of Risk and Financial Management
