0,Do Investors Value Sustainability? A Natural Experiment Examining Ranking and Fund Flows,"SM HARTZMARK, AB SUSSMAN",2019,860,The Journal of Finance
1,Anticompetitive Effects of Common Ownership,"J AZAR, MC SCHMALZ, I TECU",2018,772,The Journal of Finance
2,Deviations from Covered Interest Rate Parity,"W DU, A TEPPER, A VERDELHAN",2018,668,The Journal of Finance
3,Diagnostic Expectations and Credit Cycles,"P BORDALO, N GENNAIOLI, A SHLEIFER",2018,570,The Journal of Finance
4,Is Bitcoin Really Untethered?,"JM GRIFFIN, A SHAMS",2020,525,The Journal of Finance
5,Taming the Factor Zoo: A Test of New Factors,"G FENG, S GIGLIO, D XIU",2020,483,The Journal of Finance
6,Do ETFs Increase Volatility?,"I BEN‐DAVID, F FRANZONI, R MOUSSAWI",2018,428,The Journal of Finance
7,Comparing Asset Pricing Models,"F BARILLAS, JAY SHANKEN",2018,419,The Journal of Finance
8,Predictably Unequal? The Effects of Machine Learning on Credit Markets,"A FUSTER, P GOLDSMITH‐PINKHAM, T RAMADORAI, A WALTHER",2022,415,The Journal of Finance
9,The Leverage Ratchet Effect,"AR ADMATI, PM DEMARZO, MF HELLWIG, P PFLEIDERER",2018,395,The Journal of Finance
10,Interpreting Factor Models,"S KOZAK, S NAGEL, S SANTOSH",2018,347,The Journal of Finance
11,Tracking Retail Investor Activity,"E BOEHMER, CM JONES, X ZHANG, X ZHANG",2021,341,The Journal of Finance
12,The Share of Systematic Variation in Bilateral Exchange Rates,A VERDELHAN,2018,339,The Journal of Finance
13,Personal Experiences and Expectations about Aggregate Outcomes,"T KUCHLER, B ZAFAR",2019,325,The Journal of Finance
14,Bank Capital and Lending Relationships,M SCHWERT,2018,320,The Journal of Finance
15,Banking on Deposits: Maturity Transformation without Interest Rate Risk,"I DRECHSLER, A SAVOV, P SCHNABL",2021,319,The Journal of Finance
16,The Geography of Financial Misconduct,"CA PARSONS, J SULAEMAN, S TITMAN",2018,316,The Journal of Finance
17,Stock Returns over the FOMC Cycle,"A CIESLAK, A MORSE, A VISSING‐JORGENSEN",2019,315,The Journal of Finance
18,Anomalies and News,"J ENGELBERG, RD MCLEAN, J PONTIFF",2018,312,The Journal of Finance
19,"The International Bank Lending Channel of Monetary Policy Rates and QE: Credit Supply, Reach‐for‐Yield, and Real Effects","B MORAIS, JL PEYDRÓ, J ROLDÁN‐PEÑA, C RUIZ‐ORTEGA",2019,300,The Journal of Finance
0,Do Investors Value Sustainability? A Natural Experiment Examining Ranking and Fund Flows,"SM HARTZMARK, AB SUSSMAN",2019,860,The Journal of Finance
1,Anticompetitive Effects of Common Ownership,"J AZAR, MC SCHMALZ, I TECU",2018,772,The Journal of Finance
2,Deviations from Covered Interest Rate Parity,"W DU, A TEPPER, A VERDELHAN",2018,668,The Journal of Finance
3,Diagnostic Expectations and Credit Cycles,"P BORDALO, N GENNAIOLI, A SHLEIFER",2018,570,The Journal of Finance
4,Is Bitcoin Really Untethered?,"JM GRIFFIN, A SHAMS",2020,525,The Journal of Finance
5,Taming the Factor Zoo: A Test of New Factors,"G FENG, S GIGLIO, D XIU",2020,483,The Journal of Finance
6,Do ETFs Increase Volatility?,"I BEN‐DAVID, F FRANZONI, R MOUSSAWI",2018,428,The Journal of Finance
7,Comparing Asset Pricing Models,"F BARILLAS, JAY SHANKEN",2018,419,The Journal of Finance
8,Predictably Unequal? The Effects of Machine Learning on Credit Markets,"A FUSTER, P GOLDSMITH‐PINKHAM, T RAMADORAI, A WALTHER",2022,415,The Journal of Finance
9,The Leverage Ratchet Effect,"AR ADMATI, PM DEMARZO, MF HELLWIG, P PFLEIDERER",2018,395,The Journal of Finance
10,Interpreting Factor Models,"S KOZAK, S NAGEL, S SANTOSH",2018,347,The Journal of Finance
11,Tracking Retail Investor Activity,"E BOEHMER, CM JONES, X ZHANG, X ZHANG",2021,341,The Journal of Finance
12,The Share of Systematic Variation in Bilateral Exchange Rates,A VERDELHAN,2018,339,The Journal of Finance
13,Personal Experiences and Expectations about Aggregate Outcomes,"T KUCHLER, B ZAFAR",2019,325,The Journal of Finance
14,Bank Capital and Lending Relationships,M SCHWERT,2018,320,The Journal of Finance
15,Banking on Deposits: Maturity Transformation without Interest Rate Risk,"I DRECHSLER, A SAVOV, P SCHNABL",2021,319,The Journal of Finance
16,The Geography of Financial Misconduct,"CA PARSONS, J SULAEMAN, S TITMAN",2018,316,The Journal of Finance
17,Stock Returns over the FOMC Cycle,"A CIESLAK, A MORSE, A VISSING‐JORGENSEN",2019,315,The Journal of Finance
18,Anomalies and News,"J ENGELBERG, RD MCLEAN, J PONTIFF",2018,312,The Journal of Finance
19,"The International Bank Lending Channel of Monetary Policy Rates and QE: Credit Supply, Reach‐for‐Yield, and Real Effects","B MORAIS, JL PEYDRÓ, J ROLDÁN‐PEÑA, C RUIZ‐ORTEGA",2019,300,The Journal of Finance
