0,Quasi-Experimental Shift-Share Research Designs,"K Borusyak, P Hull, X Jaravel",2022,815,The Review of Economic Studies
1,US Monetary Policy and the Global Financial Cycle,"S Miranda-Agrippino, H Rey",2020,785,The Review of Economic Studies
2,Breaking the Glass Ceiling? The Effect of Board Quotas on Female Labour Market Outcomes in Norway,"M Bertrand, SE Black, S Jensen, A Lleras-Muney",2019,729,The Review of Economic Studies
3,Dutch Disease or Agglomeration? The Local Economic Effects of Natural Resource Booms in Modern America,"H Allcott, D Keniston",2018,582,The Review of Economic Studies
4,Immigration and Redistribution,"A Alesina, A Miano, S Stantcheva",2022,577,The Review of Economic Studies
5,Refugee Migration and Electoral Outcomes,"C Dustmann, K Vasiljeva, A Piil Damm",2019,567,The Review of Economic Studies
6,The Elusive Pro-Competitive Effects of Trade,"C Arkolakis, A Costinot, D Donaldson, A Rodríguez-Clare",2019,494,The Review of Economic Studies
7,House Prices and Consumer Spending,"D Berger, V Guerrieri, G Lorenzoni, J Vavra",2018,438,The Review of Economic Studies
8,Demographics and Automation,"D Acemoglu, P Restrepo",2022,430,The Review of Economic Studies
9,Deadly Embrace: Sovereign and Financial Balance Sheets Doom Loops,"E Farhi, J Tirole",2018,423,The Review of Economic Studies
10,The Gender Earnings Gap in the Gig Economy: Evidence from over a Million Rideshare Drivers,"C Cook, R Diamond, JV Hall, JA List, P Oyer",2021,411,The Review of Economic Studies
11,What Motivates Effort? Evidence and Expert Forecasts,"S DellaVigna, D Pope",2018,411,The Review of Economic Studies
12,"Gifts of the Immigrants, Woes of the Natives: Lessons from the Age of Mass Migration",M Tabellini,2020,373,The Review of Economic Studies
13,The Impact of Regional and Sectoral Productivity Changes on the US Economy,"L Caliendo, F Parro, E Rossi-Hansberg, PD Sarte",2018,363,The Review of Economic Studies
14,Monetary Policy when Households have Debt: New Evidence on the Transmission Mechanism,"J Cloyne, C Ferreira, P Surico",2020,354,The Review of Economic Studies
15,State Taxes and Spatial Misallocation,"PD Fajgelbaum, E Morales, JC Suárez Serrato, O Zidar",2019,352,The Review of Economic Studies
16,Social Learning and Incentives for Experimentation and Communication,"A BenYishay, AM Mobarak",2019,343,The Review of Economic Studies
17,Stagnation Traps,"G Benigno, L Fornaro",2018,328,The Review of Economic Studies
18,Public R&D Investments and Private-sector Patenting: Evidence from NIH Funding Rules,"P Azoulay, JS Graff Zivin, D Li, BN Sampat",2019,313,The Review of Economic Studies
19,Fuzzy Differences-in-Differences,"C de Chaisemartin, X D’HaultfŒuille",2018,313,The Review of Economic Studies
