0,The Macroeconomics of Epidemics,"MS Eichenbaum, S Rebelo, M Trabandt",2021,1762,The Review of Financial Studies
1,Empirical Asset Pricing via Machine Learning,"S Gu, B Kelly, D Xiu",2020,1306,The Review of Financial Studies
2,Blockchain Disruption and Smart Contracts,"LW Cong, Z He",2019,1090,The Review of Financial Studies
3,The Importance of Climate Risks for Institutional Investors,"P Krueger, Z Sautner, LT Starks",2020,1046,The Review of Financial Studies
4,Replicating Anomalies,"K Hou, C Xue, L Zhang",2020,1024,The Review of Financial Studies
5,"Sex, Drugs, and Bitcoin: How Much Illegal Activity Is Financed through Cryptocurrencies?","S Foley, JR Karlsen, TJ Putniņš",2019,932,The Review of Financial Studies
6,Risks and Returns of Cryptocurrency,"Y Liu, A Tsyvinski",2021,746,The Review of Financial Studies
7,The Role of Technology in Mortgage Lending,"A Fuster, M Plosser, P Schnabl, J Vickery",2019,678,The Review of Financial Studies
8,Whatever It Takes: The Real Effects of Unconventional Monetary Policy,"VV Acharya, T Eisert, C Eufinger, C Hirsch",2019,673,The Review of Financial Studies
9,Blockchain without Waste: Proof-of-Stake,F Saleh,2021,614,The Review of Financial Studies
10,Initial Coin Offerings: Financing Growth with Cryptocurrency Token Sales,"ST Howell, M Niessner, D Yermack",2020,603,The Review of Financial Studies
11,Hedging Climate Change News,"RF Engle, S Giglio, B Kelly, H Lee, J Stroebel",2020,586,The Review of Financial Studies
12,On the Rise of FinTechs: Credit Scoring Using Digital Footprints,"T Berg, V Burg, A Gombović, M Puri",2020,567,The Review of Financial Studies
13,The Blockchain Folk Theorem,"B Biais, C Bisière, M Bouvard, C Casamatta",2019,544,The Review of Financial Studies
14,Real Effects of the Sovereign Debt Crisis in Europe: Evidence from Syndicated Loans,"VV Acharya, T Eisert, C Eufinger, C Hirsch",2018,533,The Review of Financial Studies
15,Life below Zero: Bank Lending under Negative Policy Rates,"F Heider, F Saidi, G Schepens",2019,532,The Review of Financial Studies
16,Tokenomics: Dynamic Adoption and Valuation,"LW Cong, Y Li, N Wang",2021,502,The Review of Financial Studies
17,Dissecting Characteristics Nonparametrically,"J Freyberger, A Neuhierl, M Weber",2020,499,The Review of Financial Studies
18,Peer-to-Peer Lenders Versus Banks: Substitutes or Complements?,H Tang,2019,468,The Review of Financial Studies
19,Attention to Global Warming,"D Choi, Z Gao, W Jiang",2020,461,The Review of Financial Studies
0,The Macroeconomics of Epidemics,"MS Eichenbaum, S Rebelo, M Trabandt",2021,1762,The Review of Financial Studies
1,Empirical Asset Pricing via Machine Learning,"S Gu, B Kelly, D Xiu",2020,1306,The Review of Financial Studies
2,Blockchain Disruption and Smart Contracts,"LW Cong, Z He",2019,1090,The Review of Financial Studies
3,The Importance of Climate Risks for Institutional Investors,"P Krueger, Z Sautner, LT Starks",2020,1046,The Review of Financial Studies
4,Replicating Anomalies,"K Hou, C Xue, L Zhang",2020,1024,The Review of Financial Studies
5,"Sex, Drugs, and Bitcoin: How Much Illegal Activity Is Financed through Cryptocurrencies?","S Foley, JR Karlsen, TJ Putniņš",2019,932,The Review of Financial Studies
6,Risks and Returns of Cryptocurrency,"Y Liu, A Tsyvinski",2021,746,The Review of Financial Studies
7,The Role of Technology in Mortgage Lending,"A Fuster, M Plosser, P Schnabl, J Vickery",2019,678,The Review of Financial Studies
8,Whatever It Takes: The Real Effects of Unconventional Monetary Policy,"VV Acharya, T Eisert, C Eufinger, C Hirsch",2019,673,The Review of Financial Studies
9,Blockchain without Waste: Proof-of-Stake,F Saleh,2021,614,The Review of Financial Studies
10,Initial Coin Offerings: Financing Growth with Cryptocurrency Token Sales,"ST Howell, M Niessner, D Yermack",2020,603,The Review of Financial Studies
11,Hedging Climate Change News,"RF Engle, S Giglio, B Kelly, H Lee, J Stroebel",2020,586,The Review of Financial Studies
12,On the Rise of FinTechs: Credit Scoring Using Digital Footprints,"T Berg, V Burg, A Gombović, M Puri",2020,567,The Review of Financial Studies
13,The Blockchain Folk Theorem,"B Biais, C Bisière, M Bouvard, C Casamatta",2019,544,The Review of Financial Studies
14,Real Effects of the Sovereign Debt Crisis in Europe: Evidence from Syndicated Loans,"VV Acharya, T Eisert, C Eufinger, C Hirsch",2018,533,The Review of Financial Studies
15,Life below Zero: Bank Lending under Negative Policy Rates,"F Heider, F Saidi, G Schepens",2019,532,The Review of Financial Studies
16,Tokenomics: Dynamic Adoption and Valuation,"LW Cong, Y Li, N Wang",2021,502,The Review of Financial Studies
17,Dissecting Characteristics Nonparametrically,"J Freyberger, A Neuhierl, M Weber",2020,499,The Review of Financial Studies
18,Peer-to-Peer Lenders Versus Banks: Substitutes or Complements?,H Tang,2019,468,The Review of Financial Studies
19,Attention to Global Warming,"D Choi, Z Gao, W Jiang",2020,461,The Review of Financial Studies
