,Journal,h5-index,Link
0,American Economic Review,160,https://scholar.google.com/citations?hl=en&oe=ASCII&vq=bus_economics&view_op=list_hcore&venue=JdmuJJQqBKkJ.2023
1,The Review of Financial Studies,119,https://scholar.google.com/citations?hl=en&oe=ASCII&vq=bus_economics&view_op=list_hcore&venue=fq7Glip_6pQJ.2023
2,Journal of Political Economy,116,https://scholar.google.com/citations?hl=en&oe=ASCII&vq=bus_economics&view_op=list_hcore&venue=yXnfXvAv204J.2023
3,The Quarterly Journal of Economics,113,https://scholar.google.com/citations?hl=en&oe=ASCII&vq=bus_economics&view_op=list_hcore&venue=y_oD4FTyINcJ.2023
4,The Journal of Finance,104,https://scholar.google.com/citations?hl=en&oe=ASCII&vq=bus_economics&view_op=list_hcore&venue=veq_zTAgrk0J.2023
5,The Review of Economic Studies,104,https://scholar.google.com/citations?hl=en&oe=ASCII&vq=bus_economics&view_op=list_hcore&venue=Wf5omswE6UsJ.2023
6,Econometrica,93,https://scholar.google.com/citations?hl=en&oe=ASCII&vq=bus_economics&view_op=list_hcore&venue=G0hmswRVzmAJ.2023
7,Journal of Economic Perspectives,85,https://scholar.google.com/citations?hl=en&oe=ASCII&vq=bus_economics&view_op=list_hcore&venue=BcFvAoeBewMJ.2023
8,Journal of Public Economics,84,https://scholar.google.com/citations?hl=en&oe=ASCII&vq=bus_economics&view_op=list_hcore&venue=Lqyt_XjkJvYJ.2023
9,Review of Economics and Statistics,80,https://scholar.google.com/citations?hl=en&oe=ASCII&vq=bus_economics&view_op=list_hcore&venue=MQyiuC308yQJ.2023
10,Journal of Development Economics,80,https://scholar.google.com/citations?hl=en&oe=ASCII&vq=bus_economics&view_op=list_hcore&venue=-ALJcLELsgIJ.2023
11,The Economic Journal,79,https://scholar.google.com/citations?hl=en&oe=ASCII&vq=bus_economics&view_op=list_hcore&venue=kmZtxscrSmoJ.2023
12,Journal of Monetary Economics,72,https://scholar.google.com/citations?hl=en&oe=ASCII&vq=bus_economics&view_op=list_hcore&venue=OyA0GlLkeggJ.2023
13,Economic Modelling,72,https://scholar.google.com/citations?hl=en&oe=ASCII&vq=bus_economics&view_op=list_hcore&venue=FK79rW10EqkJ.2023
14,Journal of the European Economic Association,65,https://scholar.google.com/citations?hl=en&oe=ASCII&vq=bus_economics&view_op=list_hcore&venue=tCknICzlBE4J.2023
15,Journal of International Economics,64,https://scholar.google.com/citations?hl=en&oe=ASCII&vq=bus_economics&view_op=list_hcore&venue=fosDtzq3s1gJ.2023
16,American Economic Association Papers and Proceedings,64,https://scholar.google.com/citations?hl=en&oe=ASCII&vq=bus_economics&view_op=list_hcore&venue=fIXDpUTgUnsJ.2023
17,Economics Letters,60,https://scholar.google.com/citations?hl=en&oe=ASCII&vq=bus_economics&view_op=list_hcore&venue=QDtTLxmQwSAJ.2023
18,European Economic Review,60,https://scholar.google.com/citations?hl=en&oe=ASCII&vq=bus_economics&view_op=list_hcore&venue=IThopCmvQ1QJ.2023
19,Journal of Economic Literature,59,https://scholar.google.com/citations?hl=en&oe=ASCII&vq=bus_economics&view_op=list_hcore&venue=d21Ds1H1j1sJ.2023
