,Journal,h5-index,Link
0,Journal of Financial Economics,123,https://scholar.google.com/citations?hl=en&oe=ASCII&vq=bus_finance&view_op=list_hcore&venue=_3n9_UEYMEsJ.2023
1,The Review of Financial Studies,119,https://scholar.google.com/citations?hl=en&oe=ASCII&vq=bus_finance&view_op=list_hcore&venue=fq7Glip_6pQJ.2023
2,Finance Research Letters,114,https://scholar.google.com/citations?hl=en&oe=ASCII&vq=bus_finance&view_op=list_hcore&venue=0RF15td_93UJ.2023
3,The Journal of Finance,104,https://scholar.google.com/citations?hl=en&oe=ASCII&vq=bus_finance&view_op=list_hcore&venue=veq_zTAgrk0J.2023
4,Journal of Corporate Finance,82,https://scholar.google.com/citations?hl=en&oe=ASCII&vq=bus_finance&view_op=list_hcore&venue=w4E9Ru1M-CUJ.2023
5,International Review of Financial Analysis,71,https://scholar.google.com/citations?hl=en&oe=ASCII&vq=bus_finance&view_op=list_hcore&venue=n4Re0HaJ-c4J.2023
6,Research in International Business and Finance,71,https://scholar.google.com/citations?hl=en&oe=ASCII&vq=bus_finance&view_op=list_hcore&venue=ErnuvQw5cTUJ.2023
7,Journal of Banking & Finance,70,https://scholar.google.com/citations?hl=en&oe=ASCII&vq=bus_finance&view_op=list_hcore&venue=1ubpfGuee9gJ.2023
8,Journal of Financial and Quantitative Analysis,65,https://scholar.google.com/citations?hl=en&oe=ASCII&vq=bus_finance&view_op=list_hcore&venue=9GAwBw4wQHoJ.2023
9,Journal of Risk and Financial Management,60,https://scholar.google.com/citations?hl=en&oe=ASCII&vq=bus_finance&view_op=list_hcore&venue=W33HQ0FC718J.2023
10,Emerging Markets Finance and Trade,57,https://scholar.google.com/citations?hl=en&oe=ASCII&vq=bus_finance&view_op=list_hcore&venue=WQ-uriIokJ4J.2023
11,International Review of Economics & Finance,57,https://scholar.google.com/citations?hl=en&oe=ASCII&vq=bus_finance&view_op=list_hcore&venue=4lWo3xS-jxkJ.2023
12,Pacific-Basin Finance Journal,56,https://scholar.google.com/citations?hl=en&oe=ASCII&vq=bus_finance&view_op=list_hcore&venue=q4-aObyTX_EJ.2023
13,Journal of Accounting and Economics,55,https://scholar.google.com/citations?hl=en&oe=ASCII&vq=bus_finance&view_op=list_hcore&venue=jJ-LiVew4_sJ.2023
14,Review of Finance,53,https://scholar.google.com/citations?hl=en&oe=ASCII&vq=bus_finance&view_op=list_hcore&venue=KKwTpfMAih0J.2023
15,Journal of International Money and Finance,53,https://scholar.google.com/citations?hl=en&oe=ASCII&vq=bus_finance&view_op=list_hcore&venue=nFaOpZpSViAJ.2023
16,Journal of Financial Stability,52,https://scholar.google.com/citations?hl=en&oe=ASCII&vq=bus_finance&view_op=list_hcore&venue=njJiWlyBpmwJ.2023
17,Review of Accounting Studies,51,https://scholar.google.com/citations?hl=en&oe=ASCII&vq=bus_finance&view_op=list_hcore&venue=1eWF0PtQ4jAJ.2023
18,"Journal of International Financial Markets, Institutions and Money",51,https://scholar.google.com/citations?hl=en&oe=ASCII&vq=bus_finance&view_op=list_hcore&venue=mq_EXnlX9P0J.2023
19,The Quarterly Review of Economics and Finance,48,https://scholar.google.com/citations?hl=en&oe=ASCII&vq=bus_finance&view_op=list_hcore&venue=vK64T7J0CR4J.2023
